site_id,name,crop_type,date_from,date_to,min_longitude,min_latitude,max_longitude,max_latitude,status,pixel_count,valid_pixel_count,valid_pixel_ratio,mean_ndvi,median_ndvi,std_ndvi,min_ndvi,max_ndvi,q25_ndvi,q75_ndvi,ratio_ndvi_above_0_3,ratio_ndvi_above_0_5
site_001,Parcelle abricotiers,abricotier,2026-03-19,2026-06-17,4.836,45.061,4.842,45.066,success,262144,262144,1.0,0.33620449900627136,0.3243243098258972,0.21416160464286804,-1.0,0.8461137413978577,0.20012666285037994,0.46824926137924194,0.5446739196777344,0.21697998046875
site_002,Parcelle noyers,noyer,2026-03-19,2026-06-17,4.872,45.078,4.879,45.084,success,262144,262144,1.0,0.6474117040634155,0.7247780561447144,0.20558524131774902,-0.07686702907085419,0.944756805896759,0.5543404221534729,0.7963085174560547,0.8992691040039062,0.800048828125
site_003,Parcelle vignes,vigne,2026-03-19,2026-06-17,4.805,45.045,4.811,45.05,success,262144,262144,1.0,0.7775170803070068,0.7868396639823914,0.05427185818552971,0.4630350172519684,0.8761062026023865,0.7528735399246216,0.8149861097335815,1.0,0.9973182678222656
