acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,ndmi_min,ndmi_max,ndmi_mean,ndmi_std,ndmi_p10,ndmi_p25,ndmi_median,ndmi_p75,ndmi_p90,ratio_ndmi_below_0,ratio_ndmi_0_0_2,ratio_ndmi_0_2_0_4,ratio_ndmi_0_4_0_6,ratio_ndmi_0_6_0_8,ratio_ndmi_above_0_8,site_id,name,crop_type,is_usable,ndmi_change_from_previous_usable,ndmi_rolling_mean_3
2025-01-01,2,S2A_MSIL2A_20250101T104441_N0511_R008_T31TFK_20250101T163700.SAFE | S2A_MSIL2A_20250101T104441_N0511_R008_T31TFL_20250101T163700.SAFE,2025-01-01T10:48:22.071000+00:00 | 2025-01-01T10:48:36.276000+00:00,8.15,18.0,27.85,2025-01-01T00:00:00Z,2025-01-02T00:00:00Z,52,60,8,52,1.0,-0.00240017450414598,0.3409390151500702,0.23546148654377944,0.07123482373100261,0.18338707089424133,0.22154779732227325,0.25993624329566956,0.2758817970752716,0.2886466979980469,0.019230769230769232,0.1346153846153846,0.8461538461538461,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,,0.23546148654377944
2025-01-03,2,S2B_MSIL2A_20250103T103339_N0511_R108_T31TFK_20250103T144158.SAFE | S2B_MSIL2A_20250103T103339_N0511_R108_T31TFL_20250103T144158.SAFE,2025-01-03T10:38:24.870000+00:00 | 2025-01-03T10:38:39.588000+00:00,43.08,65.015,86.95,2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-06,2,S2B_MSIL2A_20250106T104329_N0511_R008_T31TFK_20250106T133256.SAFE | S2B_MSIL2A_20250106T104329_N0511_R008_T31TFL_20250106T133256.SAFE,2025-01-06T10:48:22.076000+00:00 | 2025-01-06T10:48:36.289000+00:00,91.18,94.725,98.27,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-08,2,S2A_MSIL2A_20250108T103421_N0511_R108_T31TFK_20250108T144248.SAFE | S2A_MSIL2A_20250108T103421_N0511_R108_T31TFL_20250108T144248.SAFE,2025-01-08T10:38:20.396000+00:00 | 2025-01-08T10:38:35.124000+00:00,75.27,87.19999999999999,99.13,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-11,2,S2A_MSIL2A_20250111T104411_N0511_R008_T31TFK_20250111T145701.SAFE | S2A_MSIL2A_20250111T104411_N0511_R008_T31TFL_20250111T145701.SAFE,2025-01-11T10:48:18.520000+00:00 | 2025-01-11T10:48:32.745000+00:00,75.6,86.585,97.57,2025-01-11T00:00:00Z,2025-01-12T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-13,2,S2B_MSIL2A_20250113T103309_N0511_R108_T31TFK_20250113T124201.SAFE | S2B_MSIL2A_20250113T103309_N0511_R108_T31TFL_20250113T124201.SAFE,2025-01-13T10:38:24.064000+00:00 | 2025-01-13T10:38:38.780000+00:00,20.7,30.985,41.27,2025-01-13T00:00:00Z,2025-01-14T00:00:00Z,52,60,30,30,0.5769230769230769,0.10039259493350983,0.23076923191547394,0.1548243301610152,0.03086667196997437,0.1090909093618393,0.13881747424602509,0.15420252084732056,0.1764705926179886,0.19257371127605438,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.08063715638276422,0.19514290835239734
2025-01-16,2,S2B_MSIL2A_20250116T104259_N0511_R008_T31TFK_20250116T180420.SAFE | S2B_MSIL2A_20250116T104259_N0511_R008_T31TFL_20250116T180420.SAFE,2025-01-16T10:48:20.004000+00:00 | 2025-01-16T10:48:34.225000+00:00,7.44,33.27,59.1,2025-01-16T00:00:00Z,2025-01-17T00:00:00Z,52,60,8,52,1.0,-0.08567008376121521,0.2153991460800171,0.12367891018780375,0.06450556780487976,0.07206703722476959,0.1106855645775795,0.14264236390590668,0.16316232085227966,0.1774134784936905,0.07692307692307693,0.8846153846153846,0.038461538461538464,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.031145419973211463,0.17132157563086614
2025-01-18,2,S2A_MSIL2A_20250118T103351_N0511_R108_T31TFK_20250118T143252.SAFE | S2A_MSIL2A_20250118T103351_N0511_R108_T31TFL_20250118T143252.SAFE,2025-01-18T10:38:23.528000+00:00 | 2025-01-18T10:38:38.247000+00:00,39.57,49.16,58.75,2025-01-18T00:00:00Z,2025-01-19T00:00:00Z,52,60,8,52,1.0,0.07848681509494781,0.1307804137468338,0.09997343128690353,0.01085883133562607,0.08918599039316177,0.0929330438375473,0.09951060265302658,0.10891088843345642,0.11353251338005066,0.0,1.0,0.0,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.023705478900900218,0.12615889054524085
2025-01-21,2,S2C_MSIL2A_20250121T104411_N0511_R008_T31TFK_20250121T125310.SAFE | S2C_MSIL2A_20250121T104411_N0511_R008_T31TFL_20250121T125310.SAFE,2025-01-21T10:48:50.370000+00:00 | 2025-01-21T10:49:04.564000+00:00,64.69,71.68,78.67,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-23,2,S2B_MSIL2A_20250123T103239_N0511_R108_T31TFK_20250123T131418.SAFE | S2B_MSIL2A_20250123T103239_N0511_R108_T31TFL_20250123T131418.SAFE,2025-01-23T10:38:26.439000+00:00 | 2025-01-23T10:38:41.161000+00:00,85.21,89.03999999999999,92.87,2025-01-23T00:00:00Z,2025-01-24T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
