acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,ndre_min,ndre_max,ndre_mean,ndre_std,ndre_p10,ndre_p25,ndre_median,ndre_p75,ndre_p90,ratio_ndre_below_0,ratio_ndre_0_0_2,ratio_ndre_0_2_0_4,ratio_ndre_0_4_0_6,ratio_ndre_0_6_0_8,ratio_ndre_above_0_8,site_id,name,crop_type,is_usable,ndre_change_from_previous_usable,ndre_rolling_mean_3
2015-07-30,2,S2A_MSIL2A_20150730T103016_N0500_R108_T31TFK_20231009T235104.SAFE | S2A_MSIL2A_20150730T103016_N0500_R108_T31TFL_20231009T235104.SAFE,2015-07-30T10:38:22.693000+00:00 | 2015-07-30T10:38:37.429000+00:00,55.63,61.245000000000005,66.86,2015-07-30T00:00:00Z,2015-07-31T00:00:00Z,66,110,110,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_005,Parcelle abricotiers,abricotier,False,,
2015-08-02,2,S2A_MSIL2A_20150802T104026_N0500_R008_T31TFK_20231010T074654.SAFE | S2A_MSIL2A_20150802T104026_N0500_R008_T31TFL_20231010T074654.SAFE,2015-08-02T10:48:20.238000+00:00 | 2015-08-02T10:48:34.474000+00:00,3.77,4.865,5.96,2015-08-02T00:00:00Z,2015-08-03T00:00:00Z,66,110,54,56,0.8484848484848485,0.25987526774406433,0.5800625085830688,0.4795829579234123,0.07597671639353894,0.3741249740123749,0.43607771396636963,0.5028109550476074,0.5380344390869141,0.5557117462158203,0.0,0.0,0.125,0.875,0.0,0.0,site_005,Parcelle abricotiers,abricotier,True,,0.4795829579234123
2015-08-09,2,S2A_MSIL2A_20150809T103016_N0500_R108_T31TFK_20231010T210842.SAFE | S2A_MSIL2A_20150809T103016_N0500_R108_T31TFL_20231010T210842.SAFE,2015-08-09T10:38:24.101000+00:00 | 2015-08-09T10:38:38.835000+00:00,62.76,77.795,92.83,2015-08-09T00:00:00Z,2015-08-10T00:00:00Z,66,110,100,10,0.15151515151515152,0.3019334077835083,0.5135468244552612,0.43706573247909547,0.059483161394662844,0.3626076579093933,0.4528500437736511,0.4536471962928772,0.4819866418838501,0.5135468244552612,0.0,0.0,0.2,0.8,0.0,0.0,site_005,Parcelle abricotiers,abricotier,False,,
2015-08-12,2,S2A_MSIL2A_20150812T104026_N0500_R008_T31TFK_20231010T220511.SAFE | S2A_MSIL2A_20150812T104026_N0500_R008_T31TFL_20231010T220511.SAFE,2015-08-12T10:48:21.274000+00:00 | 2015-08-12T10:48:35.507000+00:00,1.02,1.22,1.42,2015-08-12T00:00:00Z,2015-08-13T00:00:00Z,66,110,44,66,1.0,0.2741296589374542,0.6666666865348816,0.5677511845574233,0.08916139624487474,0.41640704870224,0.5325506925582886,0.5945945978164673,0.6337688565254211,0.6496129631996155,0.0,0.0,0.06060606060606061,0.5,0.4393939393939394,0.0,site_005,Parcelle abricotiers,abricotier,True,0.08816822663401103,0.5236670712404179
2015-08-19,2,S2A_MSIL2A_20150819T103026_N0500_R108_T31TFK_20231011T003344.SAFE | S2A_MSIL2A_20150819T103026_N0500_R108_T31TFL_20231011T003344.SAFE,2015-08-19T10:38:24.358000+00:00 | 2015-08-19T10:38:39.092000+00:00,5.06,5.895,6.73,2015-08-19T00:00:00Z,2015-08-20T00:00:00Z,66,110,44,66,1.0,0.2937188446521759,0.6807782649993896,0.5843860457340874,0.08860393668571812,0.47922226786613464,0.5620734095573425,0.6149113178253174,0.6455915570259094,0.6693026423454285,0.0,0.0,0.06060606060606061,0.36363636363636365,0.5757575757575758,0.0,site_005,Parcelle abricotiers,abricotier,True,0.016634861176664018,0.5439067294049743
2015-08-22,2,S2A_MSIL2A_20150822T104036_N0500_R008_T31TFK_20231011T040550.SAFE | S2A_MSIL2A_20150822T104036_N0500_R008_T31TFL_20231011T040550.SAFE,2015-08-22T10:48:21.177000+00:00 | 2015-08-22T10:48:35.413000+00:00,2.22,8.73,15.24,2015-08-22T00:00:00Z,2015-08-23T00:00:00Z,66,110,44,66,1.0,0.2839879095554352,0.6635777354240417,0.5647335838187824,0.08642179903374292,0.42973262071609497,0.5231490731239319,0.588402509689331,0.6294021010398865,0.649574339389801,0.0,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,site_005,Parcelle abricotiers,abricotier,True,-0.01965246191530501,0.5722902713700977
2015-08-29,2,S2A_MSIL2A_20150829T103026_N0500_R108_T31TFK_20231011T023648.SAFE | S2A_MSIL2A_20150829T103026_N0500_R108_T31TFL_20231011T023648.SAFE,2015-08-29T10:38:24.008000+00:00 | 2015-08-29T10:38:38.745000+00:00,0.85,7.42,13.99,2015-08-29T00:00:00Z,2015-08-30T00:00:00Z,66,110,44,66,1.0,0.3354755640029907,0.6778998374938965,0.599378889708808,0.07693093992083037,0.48892951011657715,0.5936776995658875,0.6273089647293091,0.6482652425765991,0.6669014096260071,0.0,0.0,0.030303030303030304,0.3181818181818182,0.6515151515151515,0.0,site_005,Parcelle abricotiers,abricotier,True,0.03464530589002568,0.5828328397538926
2015-09-08,2,S2A_MSIL2A_20150908T103036_N0500_R108_T31TFK_20231010T073304.SAFE | S2A_MSIL2A_20150908T103036_N0500_R108_T31TFL_20231010T073304.SAFE,2015-09-08T10:38:26.259000+00:00 | 2015-09-08T10:38:40.986000+00:00,3.19,6.569999999999999,9.95,2015-09-08T00:00:00Z,2015-09-09T00:00:00Z,66,110,44,66,1.0,0.3669157028198242,0.6633191704750061,0.5675735992915703,0.06019940035837271,0.48354029655456543,0.5377449989318848,0.5814222097396851,0.613743245601654,0.625589907169342,0.0,0.0,0.030303030303030304,0.5757575757575758,0.3939393939393939,0.0,site_005,Parcelle abricotiers,abricotier,True,-0.031805290417237786,0.5772286909397203
2015-09-11,2,S2A_MSIL2A_20150911T104036_N0500_R008_T31TFK_20231010T021014.SAFE | S2A_MSIL2A_20150911T104036_N0500_R008_T31TFL_20231010T021014.SAFE,2015-09-11T10:48:23.696000+00:00 | 2015-09-11T10:48:37.918000+00:00,36.35,37.525000000000006,38.7,2015-09-11T00:00:00Z,2015-09-12T00:00:00Z,66,110,44,66,1.0,0.358853816986084,0.6628836989402771,0.5479999825809941,0.06657935441341255,0.46237969398498535,0.5201205015182495,0.5582468509674072,0.5942086577415466,0.6129156947135925,0.0,0.0,0.06060606060606061,0.7424242424242424,0.19696969696969696,0.0,site_005,Parcelle abricotiers,abricotier,True,-0.019573616710576114,0.5716508238604575
2015-09-18,2,S2A_MSIL2A_20150918T103036_N0500_R108_T31TFK_20231018T082648.SAFE | S2A_MSIL2A_20150918T103036_N0500_R108_T31TFL_20231018T082648.SAFE,2015-09-18T10:38:27.410000+00:00 | 2015-09-18T10:38:42.130000+00:00,17.78,21.935000000000002,26.09,2015-09-18T00:00:00Z,2015-09-19T00:00:00Z,66,110,105,5,0.07575757575757576,0.5100071430206299,0.5892403721809387,0.545609974861145,0.032962941744293914,0.5100071430206299,0.5100071430206299,0.5418784022331238,0.5769168138504028,0.5892403721809387,0.0,0.0,0.0,1.0,0.0,0.0,site_005,Parcelle abricotiers,abricotier,False,,
