site_id,latitude,longitude,weather_model,timezone,date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,relative_humidity_2m_mean,vapour_pressure_deficit_max,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_mean,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,precipitation_7d,et0_7d,water_balance_7d,temperature_mean_7d,temperature_max_7d,relative_humidity_mean_7d,vpd_max_7d,radiation_sum_7d,wind_speed_mean_7d,soil_moisture_0_7cm_mean_7d,soil_moisture_7_28cm_mean_7d,rainy_days_7d,precipitation_14d,et0_14d,water_balance_14d,temperature_mean_14d,temperature_max_14d,relative_humidity_mean_14d,vpd_max_14d,radiation_sum_14d,wind_speed_mean_14d,soil_moisture_0_7cm_mean_14d,soil_moisture_7_28cm_mean_14d,rainy_days_14d,precipitation_30d,et0_30d,water_balance_30d,temperature_mean_30d,temperature_max_30d,relative_humidity_mean_30d,vpd_max_30d,radiation_sum_30d,wind_speed_mean_30d,soil_moisture_0_7cm_mean_30d,soil_moisture_7_28cm_mean_30d,rainy_days_30d,dryness_index_30d
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-01,25.8,18.9,32.0,0.0,50.0,3.29,7.62,29.53,15.8,0.168,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-02,26.1,18.7,32.6,0.0,44.0,3.61,8.0,28.75,16.6,0.161,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-03,27.8,21.4,34.6,0.0,40.0,4.15,7.85,28.76,11.4,0.155,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-04,28.0,20.6,34.5,0.0,36.0,4.19,8.27,28.84,13.7,0.149,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-05,27.7,20.0,34.6,0.0,43.0,4.09,7.56,27.35,12.4,0.145,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-06,27.8,21.9,34.3,0.0,54.0,3.63,6.09,27.55,6.6,0.142,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-07,28.9,21.5,34.6,0.9,51.0,3.76,7.37,25.82,14.3,0.14,0.196,0.9,52.76,-51.86,27.442857142857143,34.6,45.42857142857143,4.19,196.6,12.971428571428572,0.15142857142857144,0.2112857142857143,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-08,23.4,19.8,26.6,0.0,50.0,2.26,5.96,25.14,13.1,0.139,0.193,0.9,51.1,-50.2,27.099999999999998,34.6,45.42857142857143,4.19,192.21,12.585714285714287,0.14728571428571427,0.20614285714285713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-09,20.8,16.6,25.5,0.0,40.0,2.38,7.25,28.86,19.5,0.138,0.19,0.9,50.349999999999994,-49.449999999999996,26.342857142857145,34.6,44.857142857142854,4.19,192.32,13.0,0.144,0.20142857142857146,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-10,23.0,15.3,30.9,0.0,43.0,3.06,6.97,29.02,11.3,0.137,0.187,0.9,49.47,-48.57,25.657142857142862,34.6,45.285714285714285,4.19,192.58,12.985714285714286,0.14142857142857143,0.1972857142857143,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-11,26.3,18.4,32.6,0.0,49.0,3.77,7.1,29.08,9.8,0.135,0.184,0.9,48.3,-47.4,25.414285714285715,34.6,47.142857142857146,4.09,192.82,12.428571428571429,0.13942857142857143,0.19357142857142856,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-12,25.1,18.3,30.6,0.0,41.0,3.27,7.24,28.76,11.9,0.134,0.181,0.9,47.980000000000004,-47.080000000000005,25.042857142857144,34.6,46.857142857142854,3.77,194.23,12.357142857142858,0.13785714285714287,0.19014285714285714,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
site_005,45.13063740327275,4.97419620223305,era5_seamless,Europe/Paris,2015-07-13,24.3,19.6,28.8,0.0,41.0,2.72,7.16,27.01,15.0,0.133,0.178,0.9,49.05,-48.15,24.54285714285714,34.6,45.0,3.77,193.69,13.557142857142859,0.1365714285714286,0.18700000000000003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
