acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,ndmi_min,ndmi_max,ndmi_mean,ndmi_std,ndmi_p10,ndmi_p25,ndmi_median,ndmi_p75,ndmi_p90,ratio_ndmi_below_0,ratio_ndmi_0_0_2,ratio_ndmi_0_2_0_4,ratio_ndmi_0_4_0_6,ratio_ndmi_0_6_0_8,ratio_ndmi_above_0_8,site_id,name,crop_type,is_usable,ndmi_change_from_previous_usable,ndmi_rolling_mean_3
2015-07-30,2,S2A_MSIL2A_20150730T103016_N0500_R108_T31TFK_20231009T235104.SAFE | S2A_MSIL2A_20150730T103016_N0500_R108_T31TFL_20231009T235104.SAFE,2015-07-30T10:38:22.693000+00:00 | 2015-07-30T10:38:37.429000+00:00,55.63,61.245000000000005,66.86,2015-07-30T00:00:00Z,2015-07-31T00:00:00Z,66,110,110,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_005,Parcelle abricotiers,abricotier,False,,
2015-08-02,2,S2A_MSIL2A_20150802T104026_N0500_R008_T31TFK_20231010T074654.SAFE | S2A_MSIL2A_20150802T104026_N0500_R008_T31TFL_20231010T074654.SAFE,2015-08-02T10:48:20.238000+00:00 | 2015-08-02T10:48:34.474000+00:00,3.77,4.865,5.96,2015-08-02T00:00:00Z,2015-08-03T00:00:00Z,66,110,54,56,0.8484848484848485,0.06184825673699379,0.34180748462677,0.24491069485832534,0.06750316635470435,0.1658746302127838,0.1967974305152893,0.25194329023361206,0.3060944080352783,0.3311413824558258,0.0,0.30357142857142855,0.6964285714285714,0.0,0.0,0.0,site_005,Parcelle abricotiers,abricotier,True,,0.24491069485832534
2015-08-09,2,S2A_MSIL2A_20150809T103016_N0500_R108_T31TFK_20231010T210842.SAFE | S2A_MSIL2A_20150809T103016_N0500_R108_T31TFL_20231010T210842.SAFE,2015-08-09T10:38:24.101000+00:00 | 2015-08-09T10:38:38.835000+00:00,62.76,77.795,92.83,2015-08-09T00:00:00Z,2015-08-10T00:00:00Z,66,110,100,10,0.15151515151515152,0.11022114008665085,0.2769656181335449,0.19505838081240653,0.04657225269651795,0.15377724170684814,0.1811218112707138,0.2036711573600769,0.21924518048763275,0.2769656181335449,0.0,0.5,0.5,0.0,0.0,0.0,site_005,Parcelle abricotiers,abricotier,False,,
2015-08-12,2,S2A_MSIL2A_20150812T104026_N0500_R008_T31TFK_20231010T220511.SAFE | S2A_MSIL2A_20150812T104026_N0500_R008_T31TFL_20231010T220511.SAFE,2015-08-12T10:48:21.274000+00:00 | 2015-08-12T10:48:35.507000+00:00,1.02,1.22,1.42,2015-08-12T00:00:00Z,2015-08-13T00:00:00Z,66,110,44,66,1.0,-0.08500085771083832,0.37184980511665344,0.2259022309868173,0.11486110526326163,0.07732980698347092,0.16310502588748932,0.2666085362434387,0.3113604485988617,0.3404558300971985,0.06060606060606061,0.3181818181818182,0.6212121212121212,0.0,0.0,0.0,site_005,Parcelle abricotiers,abricotier,True,-0.019008463871508036,0.23540646292257134
2015-08-19,2,S2A_MSIL2A_20150819T103026_N0500_R108_T31TFK_20231011T003344.SAFE | S2A_MSIL2A_20150819T103026_N0500_R108_T31TFL_20231011T003344.SAFE,2015-08-19T10:38:24.358000+00:00 | 2015-08-19T10:38:39.092000+00:00,5.06,5.895,6.73,2015-08-19T00:00:00Z,2015-08-20T00:00:00Z,66,110,44,66,1.0,-0.06600607186555862,0.42319929599761963,0.2812529330522838,0.11198327888510638,0.1494385302066803,0.21767988801002502,0.3327174782752991,0.3614661991596222,0.3911972939968109,0.045454545454545456,0.18181818181818182,0.7272727272727273,0.045454545454545456,0.0,0.0,site_005,Parcelle abricotiers,abricotier,True,0.05535070206546652,0.2506886196324755
2015-08-22,2,S2A_MSIL2A_20150822T104036_N0500_R008_T31TFK_20231011T040550.SAFE | S2A_MSIL2A_20150822T104036_N0500_R008_T31TFL_20231011T040550.SAFE,2015-08-22T10:48:21.177000+00:00 | 2015-08-22T10:48:35.413000+00:00,2.22,8.73,15.24,2015-08-22T00:00:00Z,2015-08-23T00:00:00Z,66,110,44,66,1.0,-0.06431359052658081,0.39674094319343567,0.24932338621213354,0.11483754363907554,0.09639016538858414,0.1871192306280136,0.2856169044971466,0.3404330909252167,0.3771086633205414,0.045454545454545456,0.24242424242424243,0.7121212121212122,0.0,0.0,0.0,site_005,Parcelle abricotiers,abricotier,True,-0.031929546840150286,0.2521595167504116
2015-08-29,2,S2A_MSIL2A_20150829T103026_N0500_R108_T31TFK_20231011T023648.SAFE | S2A_MSIL2A_20150829T103026_N0500_R108_T31TFL_20231011T023648.SAFE,2015-08-29T10:38:24.008000+00:00 | 2015-08-29T10:38:38.745000+00:00,0.85,7.42,13.99,2015-08-29T00:00:00Z,2015-08-30T00:00:00Z,66,110,44,66,1.0,-0.045623522251844406,0.4351145029067993,0.2849484070161865,0.10892315443216094,0.14584937691688538,0.2418278306722641,0.31758779287338257,0.3640661835670471,0.3874979317188263,0.045454545454545456,0.12121212121212122,0.7575757575757576,0.07575757575757576,0.0,0.0,site_005,Parcelle abricotiers,abricotier,True,0.03562502080405297,0.271841575426868
2015-09-08,2,S2A_MSIL2A_20150908T103036_N0500_R108_T31TFK_20231010T073304.SAFE | S2A_MSIL2A_20150908T103036_N0500_R108_T31TFL_20231010T073304.SAFE,2015-09-08T10:38:26.259000+00:00 | 2015-09-08T10:38:40.986000+00:00,3.19,6.569999999999999,9.95,2015-09-08T00:00:00Z,2015-09-09T00:00:00Z,66,110,44,66,1.0,0.026477934792637825,0.43795621395111084,0.28778423320953594,0.0963490013988074,0.13518953323364258,0.2477763593196869,0.3108254671096802,0.36242884397506714,0.38591548800468445,0.0,0.19696969696969696,0.7272727272727273,0.07575757575757576,0.0,0.0,site_005,Parcelle abricotiers,abricotier,True,0.0028358261933494333,0.2740186754792853
2015-09-11,2,S2A_MSIL2A_20150911T104036_N0500_R008_T31TFK_20231010T021014.SAFE | S2A_MSIL2A_20150911T104036_N0500_R008_T31TFL_20231010T021014.SAFE,2015-09-11T10:48:23.696000+00:00 | 2015-09-11T10:48:37.918000+00:00,36.35,37.525000000000006,38.7,2015-09-11T00:00:00Z,2015-09-12T00:00:00Z,66,110,44,66,1.0,0.011183956637978554,0.43460899591445923,0.26984894196643977,0.10410120883803621,0.14186611771583557,0.217721089720726,0.28995147347450256,0.35031846165657043,0.37419015169143677,0.0,0.22727272727272727,0.7272727272727273,0.045454545454545456,0.0,0.0,site_005,Parcelle abricotiers,abricotier,True,-0.017935291243096174,0.2808605273973874
2015-09-18,2,S2A_MSIL2A_20150918T103036_N0500_R108_T31TFK_20231018T082648.SAFE | S2A_MSIL2A_20150918T103036_N0500_R108_T31TFL_20231018T082648.SAFE,2015-09-18T10:38:27.410000+00:00 | 2015-09-18T10:38:42.130000+00:00,17.78,21.935000000000002,26.09,2015-09-18T00:00:00Z,2015-09-19T00:00:00Z,66,110,105,5,0.07575757575757576,0.2454918771982193,0.36380714178085327,0.31335714757442473,0.03957548265870085,0.30533891916275024,0.30533891916275024,0.3139810562133789,0.338166743516922,0.36380714178085327,0.0,0.0,1.0,0.0,0.0,0.0,site_005,Parcelle abricotiers,abricotier,False,,
