acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,ndre_min,ndre_max,ndre_mean,ndre_std,ndre_p10,ndre_p25,ndre_median,ndre_p75,ndre_p90,ratio_ndre_below_0,ratio_ndre_0_0_2,ratio_ndre_0_2_0_4,ratio_ndre_0_4_0_6,ratio_ndre_0_6_0_8,ratio_ndre_above_0_8,site_id,name,crop_type,is_usable,ndre_change_from_previous_usable,ndre_rolling_mean_3
2025-01-01,2,S2A_MSIL2A_20250101T104441_N0511_R008_T31TFK_20250101T163700.SAFE | S2A_MSIL2A_20250101T104441_N0511_R008_T31TFL_20250101T163700.SAFE,2025-01-01T10:48:22.071000+00:00 | 2025-01-01T10:48:36.276000+00:00,8.15,18.0,27.85,2025-01-01T00:00:00Z,2025-01-02T00:00:00Z,52,60,8,52,1.0,0.3264535665512085,0.4972623288631439,0.45538711891724526,0.03676089931919033,0.40827885270118713,0.445421040058136,0.4706183075904846,0.4825609028339386,0.48951759934425354,0.0,0.0,0.09615384615384616,0.9038461538461539,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,,0.45538711891724526
2025-01-03,2,S2B_MSIL2A_20250103T103339_N0511_R108_T31TFK_20250103T144158.SAFE | S2B_MSIL2A_20250103T103339_N0511_R108_T31TFL_20250103T144158.SAFE,2025-01-03T10:38:24.870000+00:00 | 2025-01-03T10:38:39.588000+00:00,43.08,65.015,86.95,2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-06,2,S2B_MSIL2A_20250106T104329_N0511_R008_T31TFK_20250106T133256.SAFE | S2B_MSIL2A_20250106T104329_N0511_R008_T31TFL_20250106T133256.SAFE,2025-01-06T10:48:22.076000+00:00 | 2025-01-06T10:48:36.289000+00:00,91.18,94.725,98.27,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-08,2,S2A_MSIL2A_20250108T103421_N0511_R108_T31TFK_20250108T144248.SAFE | S2A_MSIL2A_20250108T103421_N0511_R108_T31TFL_20250108T144248.SAFE,2025-01-08T10:38:20.396000+00:00 | 2025-01-08T10:38:35.124000+00:00,75.27,87.19999999999999,99.13,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-11,2,S2A_MSIL2A_20250111T104411_N0511_R008_T31TFK_20250111T145701.SAFE | S2A_MSIL2A_20250111T104411_N0511_R008_T31TFL_20250111T145701.SAFE,2025-01-11T10:48:18.520000+00:00 | 2025-01-11T10:48:32.745000+00:00,75.6,86.585,97.57,2025-01-11T00:00:00Z,2025-01-12T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-13,2,S2B_MSIL2A_20250113T103309_N0511_R108_T31TFK_20250113T124201.SAFE | S2B_MSIL2A_20250113T103309_N0511_R108_T31TFL_20250113T124201.SAFE,2025-01-13T10:38:24.064000+00:00 | 2025-01-13T10:38:38.780000+00:00,20.7,30.985,41.27,2025-01-13T00:00:00Z,2025-01-14T00:00:00Z,52,60,30,30,0.5769230769230769,0.21231649816036224,0.321561336517334,0.25468980471293123,0.027208177505021993,0.218584343791008,0.24108603596687317,0.25531062483787537,0.2613992393016815,0.29918405413627625,0.0,0.0,1.0,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.20069731420431403,0.35503846181508825
2025-01-16,2,S2B_MSIL2A_20250116T104259_N0511_R008_T31TFK_20250116T180420.SAFE | S2B_MSIL2A_20250116T104259_N0511_R008_T31TFL_20250116T180420.SAFE,2025-01-16T10:48:20.004000+00:00 | 2025-01-16T10:48:34.225000+00:00,7.44,33.27,59.1,2025-01-16T00:00:00Z,2025-01-17T00:00:00Z,52,60,8,52,1.0,0.2948085367679596,0.4569975733757019,0.39136460710030335,0.049251673544348354,0.32203391194343567,0.343901127576828,0.41286158561706543,0.43194150924682617,0.4501018226146698,0.0,0.0,0.46153846153846156,0.5384615384615384,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,0.13667480238737212,0.36714717691015997
2025-01-18,2,S2A_MSIL2A_20250118T103351_N0511_R108_T31TFK_20250118T143252.SAFE | S2A_MSIL2A_20250118T103351_N0511_R108_T31TFL_20250118T143252.SAFE,2025-01-18T10:38:23.528000+00:00 | 2025-01-18T10:38:38.247000+00:00,39.57,49.16,58.75,2025-01-18T00:00:00Z,2025-01-19T00:00:00Z,52,60,8,52,1.0,-0.028419803828001022,-0.00017035775817930698,-0.01620527035825384,0.005149667330232078,-0.021381985396146774,-0.019873373210430145,-0.01667127199470997,-0.013694414868950844,-0.009278117679059505,1.0,0.0,0.0,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.4075698774585572,0.20994971381832692
2025-01-21,2,S2C_MSIL2A_20250121T104411_N0511_R008_T31TFK_20250121T125310.SAFE | S2C_MSIL2A_20250121T104411_N0511_R008_T31TFL_20250121T125310.SAFE,2025-01-21T10:48:50.370000+00:00 | 2025-01-21T10:49:04.564000+00:00,64.69,71.68,78.67,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-23,2,S2B_MSIL2A_20250123T103239_N0511_R108_T31TFK_20250123T131418.SAFE | S2B_MSIL2A_20250123T103239_N0511_R108_T31TFL_20250123T131418.SAFE,2025-01-23T10:38:26.439000+00:00 | 2025-01-23T10:38:41.161000+00:00,85.21,89.03999999999999,92.87,2025-01-23T00:00:00Z,2025-01-24T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-26,2,S2B_MSIL2A_20250126T104229_N0511_R008_T31TFK_20250126T132650.SAFE | S2B_MSIL2A_20250126T104229_N0511_R008_T31TFL_20250126T132650.SAFE,2025-01-26T10:48:24.136000+00:00 | 2025-01-26T10:48:38.355000+00:00,81.02,89.66999999999999,98.32,2025-01-26T00:00:00Z,2025-01-27T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-01-28,2,S2C_MSIL2A_20250128T103331_N0511_R108_T31TFK_20250205T155511.SAFE | S2C_MSIL2A_20250128T103331_N0511_R108_T31TFL_20250205T155511.SAFE,2025-01-28T10:38:52.584000+00:00 | 2025-01-28T10:39:07.294000+00:00,33.77,53.715,73.66,2025-01-28T00:00:00Z,2025-01-29T00:00:00Z,52,60,8,52,1.0,0.34337928891181946,0.45250430703163147,0.42030685738875323,0.02815498267322588,0.38840746879577637,0.40262582898139954,0.4312743544578552,0.4434238076210022,0.4468992352485657,0.0,0.0,0.25,0.75,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,0.4365121277470071,0.26515539804360094
2025-01-31,2,S2C_MSIL2A_20250131T104321_N0511_R008_T31TFK_20250131T161610.SAFE | S2C_MSIL2A_20250131T104321_N0511_R008_T31TFL_20250131T161610.SAFE,2025-01-31T10:48:48.838000+00:00 | 2025-01-31T10:48:58.084000+00:00,99.25,99.62,99.99,2025-01-31T00:00:00Z,2025-02-01T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-02-02,2,S2B_MSIL2A_20250202T103149_N0511_R108_T31TFK_20250202T124202.SAFE | S2B_MSIL2A_20250202T103149_N0511_R108_T31TFL_20250202T124202.SAFE,2025-02-02T10:38:27.235000+00:00 | 2025-02-02T10:38:41.953000+00:00,78.75,85.155,91.56,2025-02-02T00:00:00Z,2025-02-03T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-02-05,2,S2B_MSIL2A_20250205T104129_N0511_R008_T31TFK_20250205T131124.SAFE | S2B_MSIL2A_20250205T104129_N0511_R008_T31TFL_20250205T131124.SAFE,2025-02-05T10:48:23.436000+00:00 | 2025-02-05T10:48:37.652000+00:00,7.34,28.79,50.24,2025-02-05T00:00:00Z,2025-02-06T00:00:00Z,52,60,8,52,1.0,0.34225019812583923,0.40816327929496765,0.3778340025590017,0.019271036226795626,0.35286542773246765,0.36148563027381897,0.3830040395259857,0.3932768404483795,0.4008273482322693,0.0,0.0,0.8846153846153846,0.11538461538461539,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.04247285482975155,0.2606451965298337
2025-02-07,2,S2C_MSIL2A_20250207T103241_N0511_R108_T31TFK_20250207T150212.SAFE | S2C_MSIL2A_20250207T103241_N0511_R108_T31TFL_20250207T150212.SAFE,2025-02-07T10:38:51.538000+00:00 | 2025-02-07T10:39:06.246000+00:00,81.81,84.13499999999999,86.46,2025-02-07T00:00:00Z,2025-02-08T00:00:00Z,52,60,8,52,1.0,0.291068434715271,0.3735312223434448,0.3443160956868759,0.019137536048418093,0.32373473048210144,0.33261755108833313,0.34744054079055786,0.35995644330978394,0.3667772710323334,0.0,0.0,1.0,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.0335179068721258,0.38081898521154356
2025-02-10,2,S2C_MSIL2A_20250210T104221_N0511_R008_T31TFK_20250210T141010.SAFE | S2C_MSIL2A_20250210T104221_N0511_R008_T31TFL_20250210T141010.SAFE,2025-02-10T10:48:47.727000+00:00 | 2025-02-10T10:49:01.928000+00:00,99.93,99.96000000000001,99.99,2025-02-10T00:00:00Z,2025-02-11T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-02-12,2,S2B_MSIL2A_20250212T103049_N0511_R108_T31TFK_20250212T125115.SAFE | S2B_MSIL2A_20250212T103049_N0511_R108_T31TFL_20250212T125115.SAFE,2025-02-12T10:38:28.577000+00:00 | 2025-02-12T10:38:43.294000+00:00,67.38,74.755,82.13,2025-02-12T00:00:00Z,2025-02-13T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-02-15,2,S2B_MSIL2A_20250215T104029_N0511_R008_T31TFK_20250215T125800.SAFE | S2B_MSIL2A_20250215T104029_N0511_R008_T31TFL_20250215T125800.SAFE,2025-02-15T10:48:26.265000+00:00 | 2025-02-15T10:48:40.470000+00:00,8.58,9.915,11.25,2025-02-15T00:00:00Z,2025-02-16T00:00:00Z,52,60,8,52,1.0,0.3272467851638794,0.4383423924446106,0.3844491300674585,0.020615458810027732,0.3575073778629303,0.37406060099601746,0.389286607503891,0.39855071902275085,0.40525516867637634,0.0,0.0,0.7884615384615384,0.21153846153846154,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,0.04013303438058263,0.3688664094377787
2025-02-17,2,S2C_MSIL2A_20250217T103131_N0511_R108_T31TFK_20250217T145603.SAFE | S2C_MSIL2A_20250217T103131_N0511_R108_T31TFL_20250217T145603.SAFE,2025-02-17T10:38:47.629000+00:00 | 2025-02-17T10:39:02.342000+00:00,18.46,33.545,48.63,2025-02-17T00:00:00Z,2025-02-18T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-02-20,2,S2C_MSIL2A_20250220T104121_N0511_R008_T31TFK_20250220T210053.SAFE | S2C_MSIL2A_20250220T104121_N0511_R008_T31TFL_20250220T210053.SAFE,2025-02-20T10:48:43.502000+00:00 | 2025-02-20T10:48:57.720000+00:00,45.43,47.935,50.44,2025-02-20T00:00:00Z,2025-02-21T00:00:00Z,52,60,8,52,1.0,0.3101179003715515,0.403929740190506,0.3538024299419844,0.017955155753176067,0.32913070917129517,0.34176743030548096,0.3596961498260498,0.36686643958091736,0.371844083070755,0.0,0.0,0.9807692307692307,0.019230769230769232,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.030646700125474102,0.36085588523210627
2025-02-22,2,S2B_MSIL2A_20250222T102939_N0511_R108_T31TFK_20250222T124858.SAFE | S2B_MSIL2A_20250222T102939_N0511_R108_T31TFL_20250222T124858.SAFE,2025-02-22T10:38:29.310000+00:00 | 2025-02-22T10:38:44.018000+00:00,86.74,93.055,99.37,2025-02-22T00:00:00Z,2025-02-23T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-02-25,2,S2B_MSIL2A_20250225T103929_N0511_R008_T31TFK_20250225T133353.SAFE | S2B_MSIL2A_20250225T103929_N0511_R008_T31TFL_20250225T133353.SAFE,2025-02-25T10:48:25.507000+00:00 | 2025-02-25T10:48:39.713000+00:00,87.56,92.515,97.47,2025-02-25T00:00:00Z,2025-02-26T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-02-27,2,S2C_MSIL2A_20250227T103021_N0511_R108_T31TFK_20250227T161512.SAFE | S2C_MSIL2A_20250227T103021_N0511_R108_T31TFL_20250227T161512.SAFE,2025-02-27T10:38:49.103000+00:00 | 2025-02-27T10:39:03.815000+00:00,22.23,39.47,56.71,2025-02-27T00:00:00Z,2025-02-28T00:00:00Z,52,60,8,52,1.0,0.35752347111701965,0.4266666769981384,0.39366466609331274,0.018049078919901616,0.3685322105884552,0.381506085395813,0.3959002196788788,0.40889105200767517,0.412779837846756,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,0.039862236151328334,0.3773054087009186
