episode_id,parcel_id,episode_start_date,episode_end_date,peak_date,duration_days,decision_point_count,dominant_index,worst_ndmi_value,worst_ndmi_anomaly,lowest_ndmi_percentile,best_valid_pixel_ratio,dominant_hydro_context,highest_vpd_state,persistence_state,maximum_urgency,proposed_action,justification_codes,rules_version,baseline_version,evaluation_mode,cost_model_version,cost_status,estimated_time_min_low,estimated_time_min_high,estimated_cost_eur_low,estimated_cost_eur_high,delay_cost_estimated,verification_status,verification_method,verification_result,human_decision_available,human_final_decision,generated_at
site_004_episode_20260612_32,site_004,2026-06-12,2026-06-12,2026-06-12,0,1,NDMI_BUFFER_10M,0.2923450031402435,-0.02622307233060872,17.80821917808219,1.0,very_dry,normal,single,medium,field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_20|rule_r5|very_dry_hydro_context,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20181030_09,site_004,2018-10-30,2018-10-30,2018-10-30,0,1,NDMI_BUFFER_10M,0.1445567601610387,-0.0735490791785823,18.6046511627907,0.9242424242424242,dry,normal,single,medium,field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_20|rule_r5,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20170515_03,site_004,2017-05-15,2017-05-15,2017-05-15,0,1,NDMI_BUFFER_10M,0.2701270870412842,-0.04535254147468193,19.148936170212767,1.0,dry,normal,single,medium,field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_20|rule_r5,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
