site_id,acquisition_date,index,buffer_m,area_m2,area_retained_ratio,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,mean,median,std,minimum,maximum,p10,p25,p75,p90,is_usable
site_004,2015-07-30,ndmi,0,51917.91599527015,1.0,163,224,224,0,0.0,,,,,,,,,,False
site_004,2015-07-30,ndmi,10,42644.30755836743,0.8213819149117335,132,182,182,0,0.0,,,,,,,,,,False
site_004,2015-07-30,ndmi,20,34255.87494651465,0.6598103655929609,111,156,156,0,0.0,,,,,,,,,,False
site_004,2015-08-02,ndmi,0,51917.91599527015,1.0,163,224,129,95,0.5828220858895705,0.29577569782145713,0.3236593008041382,0.12657050557854138,-0.20512820780277252,0.4741949737071991,0.09436669945716858,0.24291221797466278,0.3888888955116272,0.42318058013916016,False
site_004,2015-08-02,ndmi,10,42644.30755836743,0.8213819149117335,132,182,118,64,0.48484848484848486,0.3730887998244725,0.3987305164337158,0.12424406719675771,-0.0162443146109581,0.6069629192352295,0.24137930572032928,0.31821736693382263,0.4552901089191437,0.4867444336414337,False
site_004,2015-08-02,ndmi,20,34255.87494651465,0.6598103655929609,111,156,99,57,0.5135135135135135,0.37010338687819927,0.3870967626571655,0.0864356329781536,-0.0015420200070366263,0.5155279636383057,0.2740578055381775,0.3214671015739441,0.4347379207611084,0.46354636549949646,False
site_004,2015-08-09,ndmi,0,51917.91599527015,1.0,163,224,224,0,0.0,,,,,,,,,,False
site_004,2015-08-09,ndmi,10,42644.30755836743,0.8213819149117335,132,182,182,0,0.0,,,,,,,,,,False
site_004,2015-08-09,ndmi,20,34255.87494651465,0.6598103655929609,111,156,156,0,0.0,,,,,,,,,,False
site_004,2015-08-12,ndmi,0,51917.91599527015,1.0,163,224,61,163,1.0,0.2618735892686741,0.28391608595848083,0.10778453927017186,-0.11364763975143433,0.4288179576396942,0.11608093976974487,0.2215464860200882,0.3356533944606781,0.3750223219394684,True
