site_id,name,crop_type,acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,ndvi_geometry_pixel_count,ndvi_sample_count,ndvi_no_data_count,ndvi_valid_pixel_count,ndvi_valid_pixel_ratio,ndvi_min,ndvi_max,ndvi_mean,ndvi_std,ndvi_p10,ndvi_p25,ndvi_median,ndvi_p75,ndvi_p90,ratio_ndvi_below_0,ratio_ndvi_0_0_2,ratio_ndvi_0_2_0_4,ratio_ndvi_0_4_0_6,ratio_ndvi_0_6_0_8,ratio_ndvi_above_0_8,ndvi_is_usable,ndvi_change_from_previous_usable,ndvi_rolling_mean_3,evi_geometry_pixel_count,evi_sample_count,evi_no_data_count,evi_valid_pixel_count,evi_valid_pixel_ratio,evi_min,evi_max,evi_mean,evi_std,evi_p10,evi_p25,evi_median,evi_p75,evi_p90,ratio_evi_below_0,ratio_evi_0_0_2,ratio_evi_0_2_0_4,ratio_evi_0_4_0_6,ratio_evi_0_6_0_8,ratio_evi_above_0_8,evi_is_usable,evi_change_from_previous_usable,evi_rolling_mean_3,ndmi_geometry_pixel_count,ndmi_sample_count,ndmi_no_data_count,ndmi_valid_pixel_count,ndmi_valid_pixel_ratio,ndmi_min,ndmi_max,ndmi_mean,ndmi_std,ndmi_p10,ndmi_p25,ndmi_median,ndmi_p75,ndmi_p90,ratio_ndmi_below_0,ratio_ndmi_0_0_2,ratio_ndmi_0_2_0_4,ratio_ndmi_0_4_0_6,ratio_ndmi_0_6_0_8,ratio_ndmi_above_0_8,ndmi_is_usable,ndmi_change_from_previous_usable,ndmi_rolling_mean_3,ndre_geometry_pixel_count,ndre_sample_count,ndre_no_data_count,ndre_valid_pixel_count,ndre_valid_pixel_ratio,ndre_min,ndre_max,ndre_mean,ndre_std,ndre_p10,ndre_p25,ndre_median,ndre_p75,ndre_p90,ratio_ndre_below_0,ratio_ndre_0_0_2,ratio_ndre_0_2_0_4,ratio_ndre_0_4_0_6,ratio_ndre_0_6_0_8,ratio_ndre_above_0_8,ndre_is_usable,ndre_change_from_previous_usable,ndre_rolling_mean_3,usable_all_indices
site_001,Parcelle abricotiers,abricotier,2025-01-01,2,S2A_MSIL2A_20250101T104441_N0511_R008_T31TFK_20250101T163700.SAFE | S2A_MSIL2A_20250101T104441_N0511_R008_T31TFL_20250101T163700.SAFE,2025-01-01T10:48:22.071000+00:00 | 2025-01-01T10:48:36.276000+00:00,8.15,18.0,27.85,168,216,48,168,1.0,0.4131322503089905,0.7896592020988464,0.7133608460426335,0.0923885013803402,0.5728362202644348,0.7126865386962891,0.7526025772094727,0.7644045948982239,0.7756286263465881,0.0,0.0,0.0,0.125,0.875,0.0,True,,0.7133608460426335,168,216,48,168,1.0,0.1838978826999664,0.5903506875038147,0.4526277072727679,0.0882658770521103,0.2898184657096863,0.4285147190093994,0.4735415875911712,0.517622709274292,0.5393590927124023,0.0,0.0059523809523809,0.1785714285714285,0.8154761904761905,0.0,0.0,True,,0.4526277072727679,52,60,8,52,1.0,-0.0024001745041459,0.3409390151500702,0.2354614865437794,0.0712348237310026,0.1833870708942413,0.2215477973222732,0.2599362432956695,0.2758817970752716,0.2886466979980469,0.0192307692307692,0.1346153846153846,0.8461538461538461,0.0,0.0,0.0,True,,0.2354614865437794,52,60,8,52,1.0,0.3264535665512085,0.4972623288631439,0.4553871189172452,0.0367608993191903,0.4082788527011871,0.445421040058136,0.4706183075904846,0.4825609028339386,0.4895175993442535,0.0,0.0,0.0961538461538461,0.903846153846154,0.0,0.0,True,,0.4553871189172452,True
site_001,Parcelle abricotiers,abricotier,2025-01-03,2,S2B_MSIL2A_20250103T103339_N0511_R108_T31TFK_20250103T144158.SAFE | S2B_MSIL2A_20250103T103339_N0511_R108_T31TFL_20250103T144158.SAFE,2025-01-03T10:38:24.870000+00:00 | 2025-01-03T10:38:39.588000+00:00,43.08,65.015,86.95,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,False
site_001,Parcelle abricotiers,abricotier,2025-01-06,2,S2B_MSIL2A_20250106T104329_N0511_R008_T31TFK_20250106T133256.SAFE | S2B_MSIL2A_20250106T104329_N0511_R008_T31TFL_20250106T133256.SAFE,2025-01-06T10:48:22.076000+00:00 | 2025-01-06T10:48:36.289000+00:00,91.18,94.725,98.27,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,False
site_001,Parcelle abricotiers,abricotier,2025-01-08,2,S2A_MSIL2A_20250108T103421_N0511_R108_T31TFK_20250108T144248.SAFE | S2A_MSIL2A_20250108T103421_N0511_R108_T31TFL_20250108T144248.SAFE,2025-01-08T10:38:20.396000+00:00 | 2025-01-08T10:38:35.124000+00:00,75.27,87.19999999999999,99.13,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,False
site_001,Parcelle abricotiers,abricotier,2025-01-11,2,S2A_MSIL2A_20250111T104411_N0511_R008_T31TFK_20250111T145701.SAFE | S2A_MSIL2A_20250111T104411_N0511_R008_T31TFL_20250111T145701.SAFE,2025-01-11T10:48:18.520000+00:00 | 2025-01-11T10:48:32.745000+00:00,75.6,86.585,97.57,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,False
site_001,Parcelle abricotiers,abricotier,2025-01-13,2,S2B_MSIL2A_20250113T103309_N0511_R108_T31TFK_20250113T124201.SAFE | S2B_MSIL2A_20250113T103309_N0511_R108_T31TFL_20250113T124201.SAFE,2025-01-13T10:38:24.064000+00:00 | 2025-01-13T10:38:38.780000+00:00,20.7,30.985,41.27,168,216,128,88,0.5238095238095238,0.3056300282478332,0.5255128741264343,0.4039700413969431,0.0460514097013427,0.3552238941192627,0.3679849207401275,0.3962585031986236,0.4327868819236755,0.4701195359230041,0.0,0.0,0.5340909090909091,0.4659090909090909,0.0,0.0,True,-0.3093908046456904,0.5586654437197883,168,216,128,88,0.5238095238095238,0.2298789620399475,0.3100975453853607,0.2604435225102033,0.0164536453099682,0.2431548833847046,0.2502870857715606,0.2563901543617248,0.2717621028423309,0.2837916910648346,0.0,0.0,1.0,0.0,0.0,0.0,True,-0.1921841847625646,0.3565356148914856,52,60,30,30,0.5769230769230769,0.1003925949335098,0.2307692319154739,0.1548243301610152,0.0308666719699743,0.1090909093618393,0.138817474246025,0.1542025208473205,0.1764705926179886,0.1925737112760543,0.0,0.9333333333333332,0.0666666666666666,0.0,0.0,0.0,True,-0.0806371563827642,0.1951429083523973,52,60,30,30,0.5769230769230769,0.2123164981603622,0.321561336517334,0.2546898047129312,0.0272081775050219,0.218584343791008,0.2410860359668731,0.2553106248378753,0.2613992393016815,0.2991840541362762,0.0,0.0,1.0,0.0,0.0,0.0,True,-0.200697314204314,0.3550384618150882,True
site_001,Parcelle abricotiers,abricotier,2025-01-16,2,S2B_MSIL2A_20250116T104259_N0511_R008_T31TFK_20250116T180420.SAFE | S2B_MSIL2A_20250116T104259_N0511_R008_T31TFL_20250116T180420.SAFE,2025-01-16T10:48:20.004000+00:00 | 2025-01-16T10:48:34.225000+00:00,7.44,33.27,59.1,168,216,48,168,1.0,0.3461349010467529,0.7022143006324768,0.5819749367379006,0.0977735752234434,0.4170948266983032,0.5153719186782837,0.6305732727050781,0.654618501663208,0.6786096096038818,0.0,0.0,0.0535714285714285,0.3392857142857143,0.6071428571428571,0.0,True,0.1780048953409574,0.5664352747258258,168,216,48,168,1.0,0.1793184429407119,0.6006182432174683,0.4502671282915844,0.089870274770859,0.2835504114627838,0.410397320985794,0.4781864881515503,0.5084887742996216,0.5413822531700134,0.0,0.0119047619047619,0.2142857142857142,0.7678571428571429,0.0059523809523809,0.0,True,0.189823605781381,0.3877794526915186,52,60,8,52,1.0,-0.0856700837612152,0.2153991460800171,0.1236789101878037,0.0645055678048797,0.0720670372247695,0.1106855645775795,0.1426423639059066,0.1631623208522796,0.1774134784936905,0.0769230769230769,0.8846153846153846,0.0384615384615384,0.0,0.0,0.0,True,-0.0311454199732114,0.1713215756308661,52,60,8,52,1.0,0.2948085367679596,0.4569975733757019,0.3913646071003033,0.0492516735443483,0.3220339119434356,0.343901127576828,0.4128615856170654,0.4319415092468261,0.4501018226146698,0.0,0.0,0.4615384615384615,0.5384615384615384,0.0,0.0,True,0.1366748023873721,0.3671471769101599,True
site_001,Parcelle abricotiers,abricotier,2025-01-18,2,S2A_MSIL2A_20250118T103351_N0511_R108_T31TFK_20250118T143252.SAFE | S2A_MSIL2A_20250118T103351_N0511_R108_T31TFL_20250118T143252.SAFE,2025-01-18T10:38:23.528000+00:00 | 2025-01-18T10:38:38.247000+00:00,39.57,49.16,58.75,168,216,48,168,1.0,0.0112781953066587,0.0361963175237178,0.0235188846265719,0.0044104850985789,0.0178625490516424,0.0206611566245555,0.0234375,0.0264064297080039,0.0284641850739717,0.0,1.0,0.0,0.0,0.0,0.0,True,-0.5584560521113286,0.3364879542538052,168,216,48,168,1.0,0.0528789646923542,0.1902587562799453,0.1228045469282993,0.0245091655241276,0.0946428552269935,0.1066164970397949,0.1203797906637191,0.1371610909700393,0.1581277698278427,0.0,1.0,0.0,0.0,0.0,0.0,True,-0.3274625813632851,0.2778383992433623,52,60,8,52,1.0,0.0784868150949478,0.1307804137468338,0.0999734312869035,0.010858831335626,0.0891859903931617,0.0929330438375473,0.0995106026530265,0.1089108884334564,0.1135325133800506,0.0,1.0,0.0,0.0,0.0,0.0,True,-0.0237054789009002,0.1261588905452408,52,60,8,52,1.0,-0.028419803828001,-0.0001703577581793,-0.0162052703582538,0.005149667330232,-0.0213819853961467,-0.0198733732104301,-0.0166712719947099,-0.0136944148689508,-0.0092781176790595,1.0,0.0,0.0,0.0,0.0,0.0,True,-0.4075698774585572,0.2099497138183269,True
site_001,Parcelle abricotiers,abricotier,2025-01-21,2,S2C_MSIL2A_20250121T104411_N0511_R008_T31TFK_20250121T125310.SAFE | S2C_MSIL2A_20250121T104411_N0511_R008_T31TFL_20250121T125310.SAFE,2025-01-21T10:48:50.370000+00:00 | 2025-01-21T10:49:04.564000+00:00,64.69,71.68,78.67,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,False
site_001,Parcelle abricotiers,abricotier,2025-01-23,2,S2B_MSIL2A_20250123T103239_N0511_R108_T31TFK_20250123T131418.SAFE | S2B_MSIL2A_20250123T103239_N0511_R108_T31TFL_20250123T131418.SAFE,2025-01-23T10:38:26.439000+00:00 | 2025-01-23T10:38:41.161000+00:00,85.21,89.03999999999999,92.87,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,168,216,216,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,52,60,60,0,0.0,,,,,,,,,,,,,,,,False,,,False
