episode_id,parcel_id,episode_start_date,episode_end_date,peak_date,duration_days,decision_point_count,dominant_index,worst_ndmi_value,worst_ndmi_anomaly,lowest_ndmi_percentile,best_valid_pixel_ratio,dominant_hydro_context,highest_vpd_state,persistence_state,maximum_urgency,proposed_action,justification_codes,rules_version,baseline_version,evaluation_mode,cost_model_version,cost_status,estimated_time_min_low,estimated_time_min_high,estimated_cost_eur_low,estimated_cost_eur_high,delay_cost_estimated,verification_status,verification_method,verification_result,human_decision_available,human_final_decision,generated_at,episode_vegetation_anomaly_score_max,episode_climatic_pressure_score_max,episode_consistency_score_max,episode_quality_risk_score_max,simple_weather_alert_any,simple_vegetation_alert_any,simple_combined_alert_any,offline_decision_possible_any,degraded_mode_recommendation_main,episode_phenology_stage_main,episode_phenology_interpretation_risk_max,eve_v0_2_rules_version,eve_v0_2_generated_at,episode_type_primary,episode_type_flags,episode_type_confidence,eve_alert,eve_vs_simple_baseline_relation,physical_time_min_low,physical_time_min_high,physical_travel_km_low,physical_travel_km_high,physical_electricity_kwh_low,physical_electricity_kwh_high,estimated_kgco2e_low,estimated_kgco2e_high,material_mobilized,digital_dependency_level,physical_cost_model_version,physical_cost_status,cost_confidence,manual_audit_reasons,requires_manual_audit_v0_2,episode_phenology_interpretation_risk_order
site_004_episode_20171010_06,site_004,2017-10-10,2017-10-30,2017-10-27,20,6,NDMI_BUFFER_10M,0.0449115496206407,-0.1777078704943767,0.0,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|persistent_low_signal|rule_r5|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_75|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,1.0,1.0,0.0,False,True,False,False,normal_digital_mode,late_season,high,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,phenology_transition|hydroclimatic_candidate,0.9,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,3
site_004_episode_20190619_10,site_004,2019-06-19,2019-06-29,2019-06-29,10,2,NDMI_BUFFER_10M,0.2265104980783,-0.09384115650071631,0.0,1.0,dry,very_high,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r5|rule_r6|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,0.85,0.85,0.0,False,True,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.85,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,2
site_004_episode_20210830_18,site_004,2021-08-30,2021-09-06,2021-08-30,7,3,NDMI_BUFFER_10M,0.1080973229625008,-0.1387712322175501,0.0,1.0,dry,normal,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,0.6,0.6,0.0,False,True,False,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.6,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,1
site_004_episode_20180707_07,site_004,2018-07-07,2018-08-03,2018-07-27,27,8,NDMI_BUFFER_10M,0.1532696798905926,-0.1058367537069983,1.4492753623188406,1.0,very_dry,normal,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,0.85,0.85,0.0,False,True,False,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.85,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,1
site_004_episode_20190907_11,site_004,2019-09-07,2019-09-30,2019-09-17,23,7,NDMI_BUFFER_10M,0.1541513862903229,-0.06050668886305319,1.7543859649122806,1.0,dry,high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,0.75,0.75,0.0,True,True,True,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.75,True,both_alert,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,1
site_004_episode_20260421_31,site_004,2026-04-21,2026-04-26,2026-04-21,5,4,NDMI_BUFFER_10M,0.0678760000816758,-0.17204982775111796,1.9230769230769231,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,1.0,0.85,0.0,False,True,False,False,normal_digital_mode,early_season,high,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,phenology_transition|hydroclimatic_candidate,0.85,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,3
site_004_episode_20180821_08,site_004,2018-08-21,2018-09-10,2018-08-23,20,5,NDMI_BUFFER_10M,0.1597595478277513,-0.0974657261844683,2.9850746268656714,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,1.0,0.85,0.0,True,True,True,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.85,True,both_alert,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,1
site_004_episode_20220807_23,site_004,2022-08-07,2022-08-10,2022-08-10,3,2,NDMI_BUFFER_10M,0.1612096241856996,-0.09692125410903382,2.9850746268656714,1.0,dry,high,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|persistent_low_signal|rule_r5|rule_r6|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,0.75,0.75,0.0,True,True,True,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.75,True,both_alert,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,1
site_004_episode_20170609_04,site_004,2017-06-09,2017-06-12,2017-06-09,3,2,NDMI_BUFFER_10M,0.2615598124931709,-0.061995119350313044,3.0303030303030303,1.0,very_dry,high,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r5|rule_r6|very_dry_hydro_context|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,1.0,0.65,0.0,False,True,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.65,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,2
site_004_episode_20170717_05,site_004,2017-07-17,2017-07-29,2017-07-17,12,2,NDMI_BUFFER_10M,0.2080217080905585,-0.06291151782616825,4.054054054054054,1.0,very_dry,normal,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|persistent_low_signal|rule_r5|rule_r6|very_dry_hydro_context,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T18:08:05+00:00,1.0,0.85,0.85,0.0,False,True,False,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T18:08:05+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.85,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,1
