acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,ndre_min,ndre_max,ndre_mean,ndre_std,ndre_p10,ndre_p25,ndre_median,ndre_p75,ndre_p90,ratio_ndre_below_0,ratio_ndre_0_0_2,ratio_ndre_0_2_0_4,ratio_ndre_0_4_0_6,ratio_ndre_0_6_0_8,ratio_ndre_above_0_8,site_id,name,crop_type,is_usable,ndre_change_from_previous_usable,ndre_rolling_mean_3
2015-07-30,2,S2A_MSIL2A_20150730T103016_N0500_R108_T31TFK_20231009T235104.SAFE | S2A_MSIL2A_20150730T103016_N0500_R108_T31TFL_20231009T235104.SAFE,2015-07-30T10:38:22.693000+00:00 | 2015-07-30T10:38:37.429000+00:00,55.63,61.245000000000005,66.86,2015-07-30T00:00:00Z,2015-07-31T00:00:00Z,163,224,224,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_004,Parcelle noyers,noyers,False,,
2015-08-02,2,S2A_MSIL2A_20150802T104026_N0500_R008_T31TFK_20231010T074654.SAFE | S2A_MSIL2A_20150802T104026_N0500_R008_T31TFL_20231010T074654.SAFE,2015-08-02T10:48:20.238000+00:00 | 2015-08-02T10:48:34.474000+00:00,3.77,4.865,5.96,2015-08-02T00:00:00Z,2015-08-03T00:00:00Z,163,224,129,95,0.5828220858895705,0.2663115859031677,0.7210526466369629,0.567193432230698,0.0967628210626124,0.44425955414772034,0.5288357138633728,0.5819838047027588,0.639053225517273,0.6739769577980042,0.0,0.0,0.07368421052631578,0.5157894736842106,0.4105263157894737,0.0,site_004,Parcelle noyers,noyers,False,,
2015-08-09,2,S2A_MSIL2A_20150809T103016_N0500_R108_T31TFK_20231010T210842.SAFE | S2A_MSIL2A_20150809T103016_N0500_R108_T31TFL_20231010T210842.SAFE,2015-08-09T10:38:24.101000+00:00 | 2015-08-09T10:38:38.835000+00:00,62.76,77.795,92.83,2015-08-09T00:00:00Z,2015-08-10T00:00:00Z,163,224,224,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_004,Parcelle noyers,noyers,False,,
2015-08-12,2,S2A_MSIL2A_20150812T104026_N0500_R008_T31TFK_20231010T220511.SAFE | S2A_MSIL2A_20150812T104026_N0500_R008_T31TFL_20231010T220511.SAFE,2015-08-12T10:48:21.274000+00:00 | 2015-08-12T10:48:35.507000+00:00,1.02,1.22,1.42,2015-08-12T00:00:00Z,2015-08-13T00:00:00Z,163,224,61,163,1.0,0.2514307498931885,0.6997465491294861,0.5812797198997686,0.08588805842501855,0.4677217900753021,0.544421911239624,0.5966693758964539,0.6405911445617676,0.6725214719772339,0.0,0.0,0.049079754601226995,0.4723926380368098,0.4785276073619632,0.0,site_004,Parcelle noyers,noyers,True,,0.5812797198997686
2015-08-19,2,S2A_MSIL2A_20150819T103026_N0500_R108_T31TFK_20231011T003344.SAFE | S2A_MSIL2A_20150819T103026_N0500_R108_T31TFL_20231011T003344.SAFE,2015-08-19T10:38:24.358000+00:00 | 2015-08-19T10:38:39.092000+00:00,5.06,5.895,6.73,2015-08-19T00:00:00Z,2015-08-20T00:00:00Z,163,224,61,163,1.0,0.30172231793403625,0.7212998867034912,0.6135690941766728,0.07849964369114872,0.5165455937385559,0.5766531229019165,0.6402280926704407,0.6649466753005981,0.6889699101448059,0.0,0.0,0.03067484662576687,0.2822085889570552,0.6871165644171779,0.0,site_004,Parcelle noyers,noyers,True,0.03228937427690426,0.5974244070382206
2015-08-22,2,S2A_MSIL2A_20150822T104036_N0500_R008_T31TFK_20231011T040550.SAFE | S2A_MSIL2A_20150822T104036_N0500_R008_T31TFL_20231011T040550.SAFE,2015-08-22T10:48:21.177000+00:00 | 2015-08-22T10:48:35.413000+00:00,2.22,8.73,15.24,2015-08-22T00:00:00Z,2015-08-23T00:00:00Z,163,224,61,163,1.0,0.2954152226448059,0.6997827291488647,0.6021010131558023,0.07777283971911053,0.5053380727767944,0.5704196095466614,0.6296442151069641,0.6555401682853699,0.6763636469841003,0.0,0.0,0.03680981595092025,0.3312883435582822,0.6319018404907976,0.0,site_004,Parcelle noyers,noyers,True,-0.01146808102087049,0.5989832757440813
2015-08-29,2,S2A_MSIL2A_20150829T103026_N0500_R108_T31TFK_20231011T023648.SAFE | S2A_MSIL2A_20150829T103026_N0500_R108_T31TFL_20231011T023648.SAFE,2015-08-29T10:38:24.008000+00:00 | 2015-08-29T10:38:38.745000+00:00,0.85,7.42,13.99,2015-08-29T00:00:00Z,2015-08-30T00:00:00Z,163,224,61,163,1.0,0.3232778012752533,0.7210960984230042,0.628867670802251,0.0717513713605501,0.53899747133255,0.5994764566421509,0.6585366129875183,0.6760282516479492,0.6932153105735779,0.0,0.0,0.012269938650306749,0.24539877300613497,0.7423312883435583,0.0,site_004,Parcelle noyers,noyers,True,0.0267666576464487,0.6148459260449087
2015-09-08,2,S2A_MSIL2A_20150908T103036_N0500_R108_T31TFK_20231010T073304.SAFE | S2A_MSIL2A_20150908T103036_N0500_R108_T31TFL_20231010T073304.SAFE,2015-09-08T10:38:26.259000+00:00 | 2015-09-08T10:38:40.986000+00:00,3.19,6.569999999999999,9.95,2015-09-08T00:00:00Z,2015-09-09T00:00:00Z,163,224,61,163,1.0,0.2638888955116272,0.6777042150497437,0.5572092116244736,0.07325199881599485,0.46986058354377747,0.5116279125213623,0.5666126012802124,0.6164654493331909,0.6447861790657043,0.0,0.0,0.024539877300613498,0.6503067484662577,0.32515337423312884,0.0,site_004,Parcelle noyers,noyers,True,-0.07165845917777747,0.5960592985275089
2015-09-11,2,S2A_MSIL2A_20150911T104036_N0500_R008_T31TFK_20231010T021014.SAFE | S2A_MSIL2A_20150911T104036_N0500_R008_T31TFL_20231010T021014.SAFE,2015-09-11T10:48:23.696000+00:00 | 2015-09-11T10:48:37.918000+00:00,36.35,37.525000000000006,38.7,2015-09-11T00:00:00Z,2015-09-12T00:00:00Z,163,224,61,163,1.0,0.3178723454475403,0.6859151721000671,0.5569908948032402,0.07339485827421559,0.46359017491340637,0.5069042444229126,0.5619730353355408,0.6169945597648621,0.6508333086967468,0.0,0.0,0.024539877300613498,0.6625766871165644,0.3128834355828221,0.0,site_004,Parcelle noyers,noyers,True,-0.00021831682123341078,0.5810225924099882
2015-09-18,2,S2A_MSIL2A_20150918T103036_N0500_R108_T31TFK_20231018T082648.SAFE | S2A_MSIL2A_20150918T103036_N0500_R108_T31TFL_20231018T082648.SAFE,2015-09-18T10:38:27.410000+00:00 | 2015-09-18T10:38:42.130000+00:00,17.78,21.935000000000002,26.09,2015-09-18T00:00:00Z,2015-09-19T00:00:00Z,163,224,224,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_004,Parcelle noyers,noyers,False,,
